,ID,exerciseCategory,exerciseName,level,type,direction,modality,joint
49,,ec 49,en 49,Intermediate,Upper,Pull,FW,M
50,,ec 50,en 50,Advanced,Upper,Pull,FW,M
51,,ec 51,en 51,Advanced,Upper,Pull,FW,M
52,,ec 52,en 52,Beginner,Upper,Pull,M,M
53,,ec 53,en 53,Beginner,Upper,Pull,FW,M
54,,ec 54,en 54,Advanced,Upper,Pull,FW,M
55,,ec 55,en 55,Intermediate,Upper,Pull,C,M
56,,ec 56,en 56,Beginner,Upper,Pull,C,M
57,,ec 57,en 57,Beginner,Upper,Pull,C,M
58,,ec 58,en 58,Intermediate,Upper,Pull,C,M
59,,ec 59,en 59,Beginner,Upper,Pull,FW,M
60,,ec 60,en 60,Intermediate,Upper,Pull,C,M
61,,ec 61,en 61,Beginner,Upper,Pull,C,M
62,,ec 62,en 62,Intermediate,Upper,Pull,C,M
63,,ec 63,en 63,Beginner,Upper,Pull,FW,S
64,,ec 64,en 64,Beginner,Upper,Pull,FW,S
65,,ec 65,en 65,Beginner,Upper,Pull,FW,S
66,,ec 66,en 66,Beginner,Upper,Pull,FW,S
67,,ec 67,en 67,Advanced,Upper,Pull,FW,S
68,,ec 68,en 68,Intermediate,Upper,Pull,C,S
69,,ec 69,en 69,Intermediate,Upper,Pull,FW,S
70,,ec 70,en 70,Advanced,Upper,Pull,FW,S
71,,ec 71,en 71,Beginner,Upper,Pull,FW,S
72,,ec 72,en 72,Intermediate,Upper,Pull,FW,S
73,,ec 73,en 73,Beginner,Upper,Pull,FW,S
74,,ec 74,en 74,Advanced,Upper,Pull,FW,S
75,,ec 75,en 75,Advanced,Upper,Pull,FW,S
76,,ec 76,en 76,Advanced,Upper,Pull,FW,S
77,,ec 77,en 77,Advanced,Upper,Pull,FW,S
78,,ec 78,en 78,Beginner,Upper,Pull,C,S
79,,ec 79,en 79,Intermediate,Upper,Pull,C,S
80,,ec 80,en 80,Intermediate,Upper,Pull,C,S
81,,ec 81,en 81,Advanced,Upper,Pull,C,S
82,,ec 82,en 82,Beginner,Upper,Pull,M,S
83,,ec 83,en 83,Advanced,Upper,Pull,C,S
84,,ec 84,en 84,Advanced,Upper,Pull,C,S
85,,ec 85,en 85,Advanced,Upper,Pull,FW,S
86,,ec 86,en 86,Advanced,Upper,Pull,C,S
87,,ec 87,en 87,Intermediate,Upper,Pull,FW,S
88,,ec 88,en 88,Advanced,Upper,Pull,FW,S
89,,ec 89,en 89,Intermediate,Upper,Pull,FW,S
90,,ec 90,en 90,Intermediate,Upper,Pull,FW,S
91,,ec 91,en 91,Advanced,Upper,Pull,FW,S
92,,ec 92,en 92,Intermediate,Upper,Pull,C,S
93,,ec 93,en 93,Beginner,Upper,Pull,FW,S
94,,ec 94,en 94,Beginner,Upper,Pull,FW,S
95,,ec 95,en 95,Beginner,Upper,Pull,FW,S
96,,ec 96,en 96,Beginner,Upper,Pull,FW,S
97,,ec 97,en 97,Beginner,Upper,Pull,FW,S
98,,ec 98,en 98,Intermediate,Upper,Pull,FW,S
99,,ec 99,en 99,Beginner,Upper,Pull,FW,S
100,,ec 100,en 100,Advanced,Upper,Pull,FW,S
101,,ec 101,en 101,Advanced,Lower,Push,FW,S
102,,ec 102,en 102,Beginner,Lower,Push,M,S
103,,ec 103,en 103,Beginner,Lower,Push,FW,S
104,,ec 104,en 104,Beginner,Lower,Push,FW,S
105,,ec 105,en 105,Beginner,Lower,Push,FW,S
106,,ec 106,en 106,Advanced,Lower,Push,M,S
107,,ec 107,en 107,Advanced,Lower,Push,FW,S
108,,ec 108,en 108,Intermediate,Lower,Push,M,S
109,,ec 109,en 109,Beginner,Lower,Push,M,S
110,,ec 110,en 110,Intermediate,Lower,Push,M,S
111,,ec 111,en 111,Intermediate,Upper,Push,FW,M
112,,ec 112,en 112,Intermediate,Upper,Push,FW,M
113,,ec 113,en 113,Beginner,Upper,Push,M,M
114,,ec 114,en 114,Advanced,Upper,Push,FW,M
115,,ec 115,en 115,Advanced,Upper,Push,M,M
116,,ec 116,en 116,Beginner,Upper,Push,FW,M
117,,ec 117,en 117,Beginner,Upper,Push,FW,M
118,,ec 118,en 118,Advanced,Upper,Push,FW,M
119,,ec 119,en 119,Intermediate,Upper,Push,FW,M
120,,ec 120,en 120,Advanced,Upper,Push,FW,M
121,,ec 121,en 121,Advanced,Upper,Push,FW,M
122,,ec 122,en 122,Advanced,Upper,Push,FW,M
123,,ec 123,en 123,Advanced,Upper,Push,FW,M
124,,ec 124,en 124,Advanced,Upper,Push,FW,M
125,,ec 125,en 125,Advanced,Upper,Push,FW,M
126,,ec 126,en 126,Advanced,Upper,Push,M,M
127,,ec 127,en 127,Advanced,Upper,Push,FW,M
128,,ec 128,en 128,Beginner,Upper,Push,FW,M
129,,ec 129,en 129,Beginner,Upper,Push,M,M
130,,ec 130,en 130,Beginner,Upper,Push,M,M
131,,ec 131,en 131,Advanced,Upper,Push,FW,M
